Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
11,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
7,1e+09,1e+09,1,0
11,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
10,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
11,1e+09,1e+09,1,0
12,1e+09,1e+09,1,0
12,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
13,1e+09,1e+09,1,0
11,1e+09,1e+09,1,0
12,1e+09,1e+09,1,0
12,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
10,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
11,1e+09,1e+09,1,0
6,1e+09,1e+09,1,0
11,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
12,1e+09,1e+09,1,0
2,15.1538,5.25e+10,1,0
